ID,Situation,OriginalText
問1,納期遅延の催促,"昨日までが期限だったはずですが、まだ届いていません。忘れていたのでしょうか。こちらの予定が狂って非常に困っています。至急送ってください。"
問2,指示と違う成果物,"マニュアルを事前にお送りしたはずですが、なぜ違う方法で進められたのでしょうか。二度手間になるので、次からは勝手な判断をしないでください。"
問3,急な依頼への断り,"本日中に対応しろとのことですが、こちらも予定があります。物理的に不可能ですので、もっと余裕を持って依頼してください。"
問4,他部署のミス指摘,"御社の手配ミスで現場が混乱しています。もっと責任を持って確認してから連絡をいただけませんか。非常に迷惑しています。"
問5,連絡漏れの指摘,"重要な件はメールだけでなく、口頭でも伝えるべきではないでしょうか。聞いていなかったせいでトラブルになりました。以後気をつけてください。"
問6,仕様変更の不満,"今さら仕様変更と言われても困ります。最初から決めておいていただければこんなことにはなりませんでした。非常に非効率です。"
問7,会議の欠席,"その時間は別件で埋まっています。もっと早く調整してくれないと参加できません。次からは事前に予定を聞いてください。"
問8,不十分な報告,"報告書の内容が薄すぎて、何が言いたいのか分かりません。時間をかけて作成しているとは思えません。やり直してください。"
問9,何度も同じ質問,"それについては以前のメールで説明済みです。過去の履歴をしっかり確認してから質問していただけますか。"
問10,見積もりが高い,"他社と比べて高すぎます。本当に精査されましたか？不信感しかありませんので、再検討してください。"
問11,電話に出ない,"何度もお電話していますが、つながりません。折り返しも遅すぎます。至急連絡をください。"
問12,他人のミスのフォロー,"本来私がやるべき仕事ではありませんが、放置できないので修正しました。自分の仕事には責任を持ってください。"
問13,メールの返信が遅い,"返信が遅すぎて、プロジェクトが止まっています。優先順位を考えて仕事をしていただかないと困ります。"
問14,ルールを守らない,"共有事項は必ず守ってください。一人でも守らない人がいると、チーム全体の士気が下がります。自覚を持ってください。"
問15,責任の押し付け,"それは私の担当外です。勝手に私の名前にしないでください。しかるべき部署に自分で確認してください。"
問16,誤字脱字の多さ,"提出物に誤字が多すぎます。確認すれば防げるはずです。こちらに校正をさせないでください。"
問17,一方的な決定,"相談もなく勝手に決められては困ります。私たちにも都合があります。事後報告ではなく事前に相談してください。"
問18,態度の悪さへの不満,"先日の会議での発言は、少し攻撃的すぎたのではありませんか。周囲も困惑していました。改めてください。"
問19,やる気への疑問,"この程度のクオリティで満足されているのでしょうか。期待していただけに非常に残念です。再考を求めます。"
問20,資料の添付忘れ,"資料が添付されていません。送る前に確認するのが常識ではないでしょうか。再送してください。"
